AA FREQ,Helicoverpa_zea-GCF_022581195.2_ilHelZeax1.1_translated_cds,Aricia_agestis-GCF_905147365.1_ilAriAges1.1_translated_cds,Helicoverpa_armigera-GCF_023701775.1_HaSCD2_translated_cds,Pectinophora_gossypiella-GCF_024362695.1_ilPecGoss1.1_translated_cds,Amyelois_transitella-GCF_032362555.1_ilAmyTran1.1_translated_cds,Pieris_brassicae-GCF_905147105.1_ilPieBrab1.1_translated_cds,Melitaea_cinxia-GCF_905220565.1_ilMelCinx1.1_translated_cds,Pararge_aegeria-GCF_905163445.1_ilParAegt1.1_translated_cds,Nymphalis_io-GCF_905147045.1_ilAglIoxx1.1_translated_cds,Galleria_mellonella-GCF_026898425.1_CSIRO_AGI_GalMel_v1_translated_cds,Vanessa_atalanta-GCF_905147765.1_ilVanAtal1.2_translated_cds,Ostrinia_furnacalis-GCF_004193835.1_ASM419383v1_translated_cds,Leptidea_sinapis-GCF_905404315.1_ilLepSina1.1_translated_cds,Pieris_napi-GCF_905475465.1_ilPieNapi1.2_translated_cds,Leguminivora_glycinivorella-GCF_023078275.1_LegGlyc_1.1_translated_cds,Vanessa_cardui-GCF_905220365.1_ilVanCard2.1_translated_cds,Bombyx_mori-GCF_014905235.1_Bmori_2016v1.0_translated_cds,Plutella_xylostella-GCF_932276165.1_ilPluXylo3.1_translated_cds,Achroia_grisella-GCF_030625045.1_CSIRO_AGI_Agris_v1_translated_cds,Papilio_machaon-GCF_912999745.1_ilPapMach1.1_translated_cds,Zerene_cesonia-GCF_012273895.1_Zerene_cesonia_1.1_translated_cds,Danaus_plexippus-GCF_018135715.1_MEX_DaPlex_translated_cds,Colias_croceus-GCF_905220415.1_ilColCroc2.1_translated_cds,Spodoptera_frugiperda-GCF_023101765.2_AGI-APGP_CSIRO_Sfru_2.0_translated_cds,Cydia_pomonella-GCF_033807575.1_ilCydPomo1_translated_cds,Pieris_rapae-GCF_905147795.1_ilPieRapa1.1_translated_cds,Plodia_interpunctella-GCF_027563975.1_ilPloInte3.1_translated_cds,Manduca_sexta-GCF_014839805.1_JHU_Msex_v1.0_translated_cds,Spodoptera_litura-GCF_002706865.1_ASM270686v1_translated_cds,Bombyx_mandarina-GCF_003987935.1_ASM398793v1_translated_cds,Trichoplusia_ni-GCF_003590095.1_tn1_translated_cds,Papilio_polytes-GCF_000836215.1_Ppol_1.0_translated_cds,Maniola_jurtina-GCF_905333055.1_ilManJurt1.1_translated_cds,Bicyclus_anynana-GCF_947172395.1_ilBicAnyn1.1_translated_cds,Vanessa_tameamea-GCF_002938995.1_ASM293899v1_translated_cds,
M,0.022401745,0.021682377,0.022439923,0.022032082,0.022323643,0.02224525,0.021203266,0.022041916,0.021891824,0.021453619,0.021786146,0.022508082,0.022445847,0.022127843,0.022083391,0.021786697,0.021566005,0.021804066,0.021559231,0.021890318,0.022363444,0.022265405,0.022180755,0.022549743,0.021889983,0.022244499,0.022196516,0.022758647,0.022989538,0.021870295,0.022397792,0.022691837,0.021883474,0.021800852,0.022035279,M
L,0.08945914,0.090661908,0.089593775,0.089806327,0.090503841,0.091414466,0.092048998,0.09058477,0.091268903,0.090934505,0.090960125,0.090389413,0.090938794,0.091240093,0.0909608,0.090928655,0.091139187,0.091316261,0.091187724,0.091230129,0.090867185,0.091587302,0.090274512,0.088702918,0.091462488,0.091471618,0.089923645,0.089796666,0.088781973,0.091460947,0.089865626,0.091857163,0.090532617,0.090998553,0.09155113,L
V,0.063859851,0.063728866,0.064008214,0.063766623,0.063165486,0.06263661,0.06246983,0.062557553,0.062252416,0.062151138,0.062647075,0.064168255,0.062655035,0.062382244,0.063882414,0.062702373,0.062864425,0.063718639,0.06274842,0.063358743,0.062918782,0.063587272,0.062408127,0.064399897,0.063509171,0.062676414,0.063402742,0.064474432,0.064389942,0.063394334,0.064115311,0.063620926,0.062209724,0.063450984,0.062373187,V
A,0.072491385,0.073784841,0.072663727,0.074169771,0.070934422,0.067093822,0.068976425,0.069520363,0.07026029,0.069994195,0.070717226,0.074871695,0.066211893,0.066030877,0.075631264,0.07105024,0.070127566,0.078416664,0.069897219,0.072963758,0.071531993,0.067181599,0.069214338,0.071534433,0.075089249,0.066900224,0.071701694,0.073674152,0.070765482,0.069923157,0.072352769,0.067473097,0.069523342,0.071231269,0.069633006,A
R,0.056717067,0.058437866,0.056818168,0.058226266,0.05723788,0.055466615,0.057250188,0.057030081,0.056349967,0.056079406,0.056539633,0.057644019,0.055723358,0.055424092,0.059001103,0.05704429,0.058275962,0.058865935,0.057340363,0.057843012,0.056429364,0.05656546,0.056724776,0.056176808,0.058999661,0.055487949,0.057165639,0.05689143,0.05449854,0.056913993,0.05679886,0.054826121,0.056870819,0.056836282,0.056342278,R
F,0.035359194,0.034858068,0.035365163,0.034312263,0.035930189,0.036432406,0.036228226,0.036112122,0.035838892,0.035138182,0.035609091,0.035349357,0.036587347,0.036934589,0.034670758,0.035753116,0.035598283,0.03428884,0.034798118,0.034788675,0.03596881,0.036064709,0.03570107,0.035189052,0.035167758,0.036497981,0.035305005,0.035184846,0.035931444,0.035950963,0.035556935,0.036849488,0.0358713,0.03566844,0.036159519,F
Y,0.032154886,0.032281068,0.032259246,0.03124767,0.031988771,0.03274991,0.032477639,0.032580903,0.032431542,0.032656083,0.032149807,0.031789281,0.033031248,0.032924138,0.031419133,0.032092467,0.03209018,0.031034135,0.032636746,0.03194552,0.032657263,0.033082326,0.032560948,0.032526969,0.031605782,0.032696567,0.032075852,0.032756108,0.03289592,0.032548792,0.032423187,0.033519204,0.032263079,0.03260502,0.032588263,Y
P,0.055770362,0.054880722,0.055885403,0.057126692,0.054373544,0.053387306,0.052613166,0.053503918,0.05342193,0.053375305,0.053878747,0.056740807,0.05152594,0.053125295,0.056503169,0.05344971,0.05404132,0.05734759,0.054022352,0.054377333,0.053990236,0.053243522,0.053862453,0.056678481,0.056249762,0.053469819,0.05503001,0.055362578,0.054393556,0.053959338,0.055584092,0.051854716,0.053983138,0.054311935,0.053165659,P
I,0.052718447,0.052449485,0.05225895,0.050961033,0.0534775,0.056567027,0.056227542,0.055046199,0.056104902,0.056657318,0.055402827,0.050824677,0.056433455,0.056990512,0.049920964,0.055373749,0.054453673,0.048412604,0.056286665,0.053114971,0.054727447,0.055062311,0.055573089,0.052326229,0.050833808,0.056592723,0.053163062,0.052952755,0.05452767,0.054369263,0.05228849,0.055952213,0.054436027,0.053739161,0.056043898,I
S,0.07625459,0.075557502,0.075834056,0.074405904,0.077331994,0.07756159,0.076874392,0.077336582,0.076956311,0.078320019,0.077149763,0.075860872,0.078800503,0.077945902,0.074672817,0.076999832,0.076341527,0.076278024,0.077242131,0.075556795,0.07615378,0.078098195,0.076287221,0.075737386,0.074790645,0.077502361,0.077667224,0.074797117,0.074560511,0.07654387,0.076127497,0.075233564,0.076997038,0.076045917,0.077182053,S
